species,soil
Astragalus_sepultipes,luvisols
Oxytropis_lagopus,chernozems
Astragalus_griffithii,calcisols
Astragalus_pseudonobilis,cambisols
Astragalus_chionanthus,chernozems
Astragalus_murinus,cambisols
Astragalus_saxifractor,cambisols
Astragalus_darumbium,andosols
Astragalus_stocksii,regosols
Astragalus_chubutensis,cambisols
Astragalus_sikokianus,cambisols
Astragalus_macrobotrys,cambisols
Astragalus_crassicarpus,luvisols
Astragalus_mossulensis,regosols
Lessertia_capitata,cambisols
Astragalus_geminiflorus,andosols
Astragalus_austinae,cambisols
Astragalus_acaulis,luvisols
Astragalus_brevifolius,kastanozems
Astragalus_macropelmatus,regosols
Astragalus_turbinatus,cambisols
Astragalus_bolanderi,cambisols
Astragalus_asper,chernozems
Astragalus_monadelphus,luvisols
Astragalus_cibarius,kastanozems
Astragalus_buchtormensis,chernozems
Astragalus_umbellatus,cambisols
Astragalus_sempervirens,cambisols
Astragalus_baissunensis,calcisols
Astragalus_anxius,kastanozems
Astragalus_polaris,cambisols
Astragalus_citrinus,calcisols
Astragalus_tanguticus,calcisols
Astragalus_cancellatus,cambisols
Astragalus_orbiculatus,
Astragalus_duchesnensis,calcisols
Astragalus_epiglottis,luvisols
Astragalus_jejunus,calcisols
Astragalus_fenzelianus,leptosols
Astragalus_stella,cambisols
Astragalus_fabaceus,cambisols
Astragalus_maxwellii,chernozems
Oxytropis_macrocarpa,chernozems
Astragalus_depressus,cambisols
Astragalus_alopecias,cambisols
Astragalus_bergii,cambisols
Astragalus_secundus,podzols
Oxytropis_falcata,leptosols
Astragalus_calycinus,cambisols
Astragalus_platytropis,chernozems
Astragalus_detritalis,calcisols
Astragalus_phoenix,calcisols
Astragalus_melilotoides,cambisols
Astragalus_sanctorum,regosols
Astragalus_lilacinus,cryosols
Astragalus_zagrosicus,cambisols
Oxytropis_microphylla,leptosols
Astragalus_rusbyi,luvisols
Astragalus_havianus,cambisols
Astragalus_jaegerianus,luvisols
Astragalus_maroccanus,regosols
Astragalus_sabulonum,calcisols
Oxytropis_pauciflora,leptosols
Astragalus_incertus,cambisols
Astragalus_wingatanus,calcisols
Astragalus_robbinsii,cambisols
Astragalus_dodtii,leptosols
Astragalus_discolor,cambisols
Astragalus_mongholicus,cambisols
Astragalus_pseudocyclophyllus,calcisols
Astragalus_desereticus,kastanozems
Astragalus_castaneiformis,luvisols
Oxytropis_mertensiana,cambisols
Tragacantha_densifolia,cambisols
Oxytropis_kansuensis,leptosols
Astragalus_parryi,luvisols
Oxytropis_adamsiana,cambisols
Astragalus_iodanthus,kastanozems
Astragalus_mohavensis,calcisols
Astragalus_ackermanii,regosols
Astragalus_heptapotamicus,chernozems
Astragalus_camptopus,cambisols
Astragalus_przewalskii,leptosols
Astragalus_reuterianus,regosols
Astracantha_pterocephala,chernozems
Astragalus_woodruffii,regosols
Astragalus_circumdatus,regosols
Astragalus_waterfallii,calcisols
Astragalus_fastidius,regosols
Astragalus_cochabambensis,acrisols
Astragalus_ammotrophus,cambisols
Astragalus_sophoroides,calcisols
Astragalus_emoryanus,calcisols
Astragalus_hamiltonii,calcisols
Astragalus_subvestitus,kastanozems
Astragalus_mulfordiae,kastanozems
Oxytropis_besseyi,kastanozems
Astragalus_bibullatus,luvisols
Astragalus_demetrii,chernozems
Astragalus_akkensis,leptosols
Oxytropis_campestris,cambisols
Astragalus_schahrudensis,calcisols
Astragalus_pauperculus,luvisols
Astragalus_perianus,chernozems
Astragalus_asterias,vertisols
Astragalus_hauarensis,solonchaks
Oxytropis_nigrescens,cambisols
Astracantha_caucasica,cambisols
Astragalus_cyri,luvisols
Astragalus_bakaliensis,regosols
Astragalus_longissimus,regosols
Onobrychis_conferta,cambisols
Astragalus_nuttallii,kastanozems
Astragalus_shagalensis,cambisols
Astragalus_allochrous,luvisols
